accessible_surface_area,net_surface_charge,solubility,aggregation_tendency,zeta_potential,clouding_point,salt_bridges,tryptophan_accessibility,surface_roughness,cluster
16296,3.6,42.0,0.169,-11.7,60.4,2,70.9,1.53,2
12640,9.5,31.7,0.054,-16.1,35.0,3,20.0,1.46,2
17310,-10.4,17.4,0.564,-19.5,67.1,1,21.1,1.4,5
24568,1.4,9.6,0.168,-20.7,60.9,3,68.8,1.46,4
12165,-5.9,31.1,0.246,-4.1,65.7,3,22.0,1.51,1
12165,-4.9,26.3,0.114,4.0,72.7,4,43.9,1.34,1
25126,-5.6,40.1,0.128,-21.1,62.4,3,78.2,1.47,2
18159,-7.2,19.4,0.388,-3.6,79.6,3,78.4,1.04,3
11072,-1.7,50.6,0.472,-14.7,67.5,6,45.3,1.44,2
16597,-7.0,19.4,0.315,-17.1,50.9,6,79.2,1.56,3
11099,-0.4,9.6,0.195,0.0,57.1,3,83.9,1.29,4
11088,-2.3,11.2,0.321,-15.1,35.0,3,65.5,1.39,3
14717,-3.4,24.4,0.143,-12.0,49.2,3,22.8,1.14,2
6214,-7.4,10.3,0.228,-12.5,55.4,2,27.4,1.11,1
6701,-5.5,50.4,0.084,-31.3,66.6,3,31.5,1.48,2
10668,2.5,23.0,0.083,-12.1,51.0,3,11.7,1.23,1
8909,1.0,17.2,0.301,-20.6,45.0,3,27.3,1.0,0
15149,-7.9,18.3,0.267,-29.2,37.3,1,21.0,1.14,1
9290,-1.4,13.6,0.258,-20.2,52.8,4,45.5,1.17,0
7593,2.5,3.1,0.177,-20.3,83.4,1,90.8,1.66,4
24010,-12.0,11.2,0.236,-4.7,63.3,4,10.4,1.47,0
12206,1.3,46.4,0.111,-25.6,71.3,2,72.0,1.19,4
13725,-6.0,19.7,0.016,-22.9,49.2,2,68.7,1.26,4
7556,1.4,34.2,0.225,-12.6,41.1,5,9.6,1.84,2
10745,-6.6,34.8,0.044,-28.3,45.3,4,92.3,1.71,5
13965,-12.8,16.2,0.352,-21.6,58.8,1,56.8,1.13,3
8430,-11.8,26.6,0.447,-31.6,36.1,1,36.4,1.79,5
15526,-1.7,3.5,0.585,-5.8,47.9,5,75.7,1.4,3
10506,-0.4,43.9,0.211,-18.0,53.0,3,25.7,1.67,2
11888,-7.4,41.6,0.11,-15.2,44.1,1,69.4,1.37,2
10501,1.8,23.9,0.245,-5.8,35.0,1,4.0,1.8,2
28026,-12.0,20.3,0.174,-22.2,63.5,5,83.9,1.13,0
13287,-2.4,16.3,0.2,-18.1,60.6,4,44.8,1.35,0
8750,-9.3,36.9,0.416,-25.6,69.3,4,63.7,1.81,3
18564,-5.9,28.7,0.167,-25.6,46.7,1,22.1,1.0,1
8198,-1.7,12.4,0.165,-24.2,69.1,0,67.7,1.41,4
14523,-7.2,6.0,0.085,-19.9,78.4,4,77.2,1.31,4
6100,-4.3,4.9,0.2,-18.8,63.1,2,47.3,1.63,1
7853,4.0,36.6,0.483,-12.1,52.7,4,61.8,1.76,2
14454,-5.5,16.1,0.127,-23.9,61.7,1,45.6,1.64,1
17950,3.0,23.6,0.388,-11.8,52.1,1,89.4,1.49,5
14307,-8.8,17.7,0.185,-10.1,50.1,4,49.8,1.43,1
12755,1.2,5.0,0.392,-19.7,68.2,2,84.2,1.33,3
11843,6.6,3.6,0.352,-23.0,58.3,1,80.1,1.48,3
7395,-16.8,11.7,0.07,-14.1,74.5,1,41.1,1.9,1
10017,-6.8,12.6,0.366,-17.0,54.7,3,23.0,1.2,0
